company,competitor1,competitor2,competitor3,competitor4,competitor5,competitor6,competitor7,competitor8,competitor9,competitor10,competitor11
Tesla,MTA,Microelettrica Scientifica,Dynapower,Melchioni,,,,,,,
S & S Diesel,Superpar Otomotiv,Carter Fuel Systems,Drake,Simpsons,,,,,,,
Apple,HP,IBM,Toshiba,Acer,Hewlett Packard Enterprise,Lenovo,Huawei,Microsoft,Samsung Electronics,Dell Technologies,Sony
Micro Interventional Devices,Nipro Medical,Arthrex,ConvaTec,Alcon,,,,,,,
Aphria,Cronos Group,Aurora,Canopy Growth,Organigram,,,,,,,
AMC Entertainment,Cineplex,Cinemark,Regal Entertainment Group,Marcus Corporation,Alamo Drafthouse,,,,,,
NVIDIA,Infor,Broadcom,Xilinx,AMD,Intel,Qualcomm,,,,,
Alibaba,Qurate Retail Group,Coupang,ASOS,JD.com,Walmart,Best Buy,Amazon,,,,
Gamestop,Auchan,Carrefour,Sony,Microsoft,Best Buy,Amazon,Nintendo,,,,
Johnson,GMW Associates,Sistemes Electronics Progres,DJB Instruments,Marlin Manufacturing,,,,,,,
CloudFlare,NGINX,Limelight Networks,N7 - The Nitrogen Platform,Dyn,Akamai,Imperva,Zscaler,,,,
Roblox,FlowPlay,Epic Games,Unity Technologies,Mojang,,,,,,,
Vanguard,Edward Jones,Merrill Lynch,Franklin Templeton,Fidelity Investments,BlackRock,TIAA,,,,,
iShares,Ufg Wealth Management,Cynex,Professional Investments,Sterling Mutuals,,,,,,,
Invesco,Schroders,Karvy Private Wealth,Sanlam Investments,VNDirect,,,,,,,
Palantir,Tyler Technologies,Verint,Tableau Software,Splunk,Mu Sigma,Cognizant,,,,,
